source,DQB10602,NT1 ICSD3 - TR,NT2 ICSD3 - TR,Counts
anic,0.0,0,0,690
anic,0.0,1,0,3
anic,0.0,not meet criteria,1,6
anic,0.0,not meet criteria,not meet criteria,5
anic,1.0,0,0,206
anic,1.0,1,0,32
anic,1.0,not meet criteria,1,3
anic,1.0,not meet criteria,not meet criteria,12
